class,mcg,gvh,lip,chg,aac,alm1,alm2
cp,0.4495,0.845,1,1,0.3635,0.7835,0.6465
cp,0.9215,0.7145,1,1,0.3865,0.67,0.5555
cp,0.371,0.7145,1,1,0.443,0.6495,0.5355
cp,0.337,0.607,1,1,0.409,0.567,0.6365
cp,0.7415,0.8095,1,1,0.375,0.773,0.6465
cp,0.247,0.726,1,1,0.591,0.639,0.5355
cp,0.674,0.857,1,1,0.5,0.794,0.6565
cp,0.764,0.7855,1,1,0.4205,0.7425,0.606
cp,0.7755,0.6665,1,1,0.4775,0.505,0.424
cp,0.528,0.7145,1,1,0.3635,0.8455,0.697
cp,0.528,0.905,1,1,0.3525,0.7525,0.6265
cp,0.719,0.619,1,1,0.5,0.8555,0.707
cp,0.562,0.8095,1,1,0.4775,0.7835,0.6465
cp,0.427,0.595,1,1,0.4775,0.701,0.6465
cp,0.753,0.6785,1,1,0.4545,0.866,0.717
cp,0.719,0.7145,1,1,0.4775,0.5775,0.4745
cp,0.618,0.655,1,1,0.568,0.7835,0.6465
cp,0.5055,0.869,1,1,0.375,0.495,0.414
cp,0.7415,0.7145,1,1,0.557,0.7425,0.616
cp,0.5395,0.512,1,1,0.557,0.8145,0.677
cp,0.5505,0.655,1,1,0.568,0.804,1
cp,0.6515,0.9165,1,1,0.1705,0.9795,0.8585
cp,0.427,0.5475,1,1,0.534,0.6805,0.5655
cp,0.663,1,1,1,0.3635,0.9175,0.7675
cp,0.5955,0.726,1,1,0.4545,0.804,0.7675
cp,0.674,0.75,1,1,0.4545,0.5775,0.4745
cp,0.719,0.7145,1,1,0.466,0.6905,0.576
cp,0.764,0.5835,1,1,0.432,0.701,0.586
cp,0.517,0.75,1,1,0.3975,0.67,0.5555
cp,0.517,0.726,1,1,0.466,0.7115,0.586
cp,0.4045,0.738,1,1,0.5,0.763,0.6365
cp,0.618,0.7975,1,1,0.568,0.67,0.5555
cp,0.371,0.5835,1,1,0.6135,0.6495,0.5355
cp,0.5505,0.845,1,1,0.5225,0.67,0.5555
cp,0.7305,0.774,1,1,0.6475,0.835,0.687
cp,0.5955,0.5475,1,1,0.534,0.639,0.5355
cp,0.674,0.5715,1,1,0.5225,0.732,0.606
cp,0.2695,0.631,1,1,0.3295,0.7215,0.596
cp,0.6405,0.6905,1,1,0.6025,0.7425,0.616
cp,0.573,0.643,1,1,0.4545,0.804,0.707
cp,0.629,0.655,1,1,0.409,0.701,0.586
cp,0.663,0.75,1,1,0.3295,0.608,0.505
cp,0.5505,0.595,1,1,0.4885,0.629,0.5255
cp,0.6855,0.738,1,1,0.432,0.6905,0.576
cp,0.3145,0.655,1,1,0.4545,0.67,0.586
cp,0.809,0.738,1,1,0.4885,0.598,0.495
cp,0.5055,0.774,1,1,0.375,0.464,0.384
cp,0.517,0.7145,1,1,0.557,0.7425,0.606
cp,0.528,0.774,1,1,0.341,0.8765,0.7275
cp,0.7415,0.7975,1,1,0.5115,0.6905,0.5655
cp,0.5845,0.5715,1,1,0.5225,0.598,0.6365
cp,0.674,0.8335,1,1,0.4885,1,0.8285
cp,0.753,0.762,1,1,0.6025,0.629,0.5255
cp,0.7415,0.5,1,1,0.5795,0.4845,0.404
cp,0.472,0.631,1,1,0.75,0.866,0.7375
cp,0.3935,0.631,1,1,0.682,0.6905,0.576
cp,0.427,0.75,1,1,0.6025,0.66,0.5455
cp,0.5505,0.774,1,1,0.4885,0.6905,0.576
cp,0.5055,0.7855,1,1,0.659,0.6905,0.5655
cp,0.528,0.738,1,1,0.3865,0.6805,0.5655
cp,0.5055,0.524,1,1,0.432,0.5565,0.4545
cp,0.4155,0.762,1,1,0.534,0.7425,0.616
cp,0.5955,0.7025,1,1,0.4545,0.5465,0.4545
cp,0.798,0.8335,1,1,0.4775,0.7835,0.6465
cp,0.472,0.845,1,1,0.4205,0.6905,0.5655
cp,0.7305,0.6785,1,1,0.3865,0.495,0.404
cp,0.719,0.75,1,1,0.534,0.6905,0.576
cp,0.4155,0.512,1,1,0.5225,0.5465,0.4545
cp,0.719,0.75,1,1,0.5115,0.763,0.6365
cp,0.6065,0.619,1,1,0.3635,0.6185,0.515
cp,0.708,0.881,1,1,0.6135,0.773,0.6465
cp,0.5055,0.5835,1,1,0.466,0.763,0.6365
cp,0.5845,0.595,1,1,0.5225,0.66,0.5455
cp,0.5055,0.6905,1,1,0.5225,0.773,0.798
cp,0.7305,0.6785,1,1,0.5795,0.7425,0.616
cp,0.528,0.8335,1,1,0.4545,0.763,0.6365
cp,0.4605,0.6905,1,1,0.4885,0.773,0.6465
cp,0.5395,0.619,1,1,0.4205,0.5775,0.485
cp,0.5055,0.857,1,1,0.5115,0.7525,0.6265
cp,0.674,0.7025,1,1,0.4545,0.639,0.5355
cp,0.618,0.857,1,1,0.534,0.67,0.5555
cp,0.5395,0.6785,1,1,0.4885,0.7115,0.586
cp,0.674,0.631,1,1,0.534,0.794,0.6565
cp,0.618,0.5355,1,1,0.341,0.7115,0.586
cp,0.5955,0.524,1,1,0.5115,0.567,0.4645
cp,0.5505,0.643,1,1,0.409,0.526,0.4345
cp,0.438,0.607,1,1,0.443,0.5565,0.4645
cp,0.4155,0.6665,1,1,0.5795,0.66,0.576
cp,0.438,0.5835,1,1,0.693,0.794,0.6565
cp,0.4045,0.6905,1,1,0.818,0.732,0.606
cp,0.618,0.643,1,1,0.409,0.67,0.5555
cp,0.5505,0.6905,1,1,0.5795,0.7525,0.7275
cp,0.5395,0.6785,1,1,0.432,0.7835,0.7475
cp,0.663,0.655,1,1,0.591,0.8145,0.677
cp,0.6515,0.631,1,1,0.6705,0.7425,0.606
cp,0.281,0.2855,1,1,0.4885,0.67,0.616
cp,0.6065,0.75,1,1,0.659,0.6805,0.5655
cp,0.3595,0.5475,1,1,0.5795,0.7425,0.6665
cp,0.2695,0.5355,1,1,0.6135,0.6495,0.717
cp,0.427,0.643,1,1,0.341,0.7115,0.586
cp,0.573,0.7145,1,1,0.284,0.773,0.6465
cp,0.7305,0.512,1,1,0.284,0.6805,0.5655
cp,0.573,0.881,1,1,0.3865,0.866,0.717
cp,0.629,0.631,1,1,0.3975,0.8455,0.707
cp,0.7305,0.7855,1,1,0.568,0.7215,0.596
cp,0.708,0.595,1,1,0.5,0.701,0.586
cp,0.5055,0.607,1,1,0.557,0.639,0.596
cp,0.517,0.8095,1,1,0.625,0.567,0.4745
cp,0.4495,0.6785,1,1,0.443,0.7215,0.596
cp,0.472,0.857,1,1,0.3635,0.8245,0.7475
cp,0.6405,0.7975,1,1,0.318,0.969,0.798
cp,0.618,0.774,1,1,0.4205,0.526,0.4345
cp,0.6065,0.7855,1,1,0.4775,0.7215,0.7275
cp,0.573,0.8335,1,1,0.5115,0.732,0.606
cp,0.573,0.6665,1,1,0.5115,0.8245,0.687
cp,0.5395,0.5835,1,1,0.341,0.8245,0.687
cp,0.618,0.6905,1,1,0.534,0.6805,0.5655
cp,0.427,0.607,1,1,0.3975,0.8865,0.7375
cp,0.719,0.5835,1,1,0.5795,0.598,0.495
cp,0.674,0.857,1,1,0.432,0.598,0.495
cp,0.719,0.881,1,1,0.557,0.701,0.576
cp,0.7305,0.7025,1,1,0.443,0.794,0.6565
cp,0.809,0.726,1,1,0.3975,0.7215,0.606
cp,0.955,0.8215,1,1,0.534,0.732,0.606
cp,0.3145,0.762,1,1,0.443,0.67,0.5555
cp,0.618,0.5835,1,1,0.5,0.6495,0.5355
cp,0.6855,0.7975,1,1,0.4885,0.804,0.6665
cp,0.5505,0.643,1,1,0.5225,0.67,0.5555
cp,0.7415,0.7855,1,1,0.5115,0.763,0.6265
cp,0.5845,0.6665,1,1,0.5225,0.629,0.5255
cp,1,0.738,1,1,0.5225,0.536,0.4445
cp,0.562,0.8215,1,1,0.568,0.6805,0.5655
cp,0.663,0.6665,1,1,0.443,0.804,0.6665
cp,0.6965,0.8335,1,1,0.193,0.7425,0.606
cp,0.809,0.5715,1,1,0.443,0.6495,0.5355
cp,0.5955,0.6905,1,1,0.3975,0.701,0.586
cp,0.663,0.75,1,1,0.5115,0.8455,0.697
cp,0.708,0.7145,1,1,0.591,0.763,0.6265
cp,0.5505,0.7025,1,1,0.375,0.804,0.6665
cp,0.753,0.7855,1,1,0.5225,0.732,0.606
cp,0.5055,0.774,1,1,0.5,0.495,0.404
cp,0.6965,0.6905,1,1,0.5795,0.639,0.5655
cp,0.82,0.6785,1,1,0.3865,0.7525,0.6265
im,0.9325,0.4645,1,1,0.443,0.0825,0.6265
im,0.5055,0.5715,1,1,0.5115,0.5465,0.4545
im,0.292,0.631,1,1,0.4205,0.1855,0.1515
im,0.7415,0.619,1,1,0.3295,0.1235,0.101
im,0.618,0.607,1,1,0.341,0.1545,0.192
im,0.517,0.7145,1,1,0.341,0.2575,0.212
im,0.483,0.4645,1,1,0.4545,0.1445,0.121
im,0.6965,0.774,1,1,0.4205,0.237,0.202
im,0.4155,0.726,1,1,0.2615,0.299,0.2625
im,0.674,0.631,1,1,0.193,0.361,0.303
im,0.382,0.631,1,1,0.3525,0.227,0.192
im,0.865,0.393,1,1,0.159,0.433,0.3635
im,0.5505,0.595,1,1,0.2615,0.1855,0.1515
im,0.18,0.762,1,1,0.3975,0.093,0.0705
im,0.056,0.6665,1,1,0.4545,0.299,0.2525
im,0.4605,0.655,1,1,0.318,0.227,0.192
im,0.3935,0.607,1,1,0.5455,0.134,0.111
im,0.4605,0.7025,1,1,0.4205,0.103,0.111
im,0.438,0.405,1,1,0.6475,0.0825,0.0705
im,0.191,0.643,1,1,0.4205,0.3505,0.293
im,0.472,0.5355,1,1,0.341,0.299,0.2425
im,0.629,0.524,1,1,0.625,0.227,0.192
im,0.281,0.5,1,1,0.4545,0.227,0.2625
im,0.3935,0.512,1,1,0.3635,0.196,0.1615
im,0.472,0.488,1,1,0.409,0.2475,0.202
im,0.292,0.595,1,1,0.3295,0.1545,0.1315
im,0.4495,0.6905,1,1,0.3975,0.2165,0.182
im,0.6515,0.595,1,1,0.3525,0.165,0.1415
im,0.1685,0.6665,1,1,0.375,0.1235,0.101
im,0.629,0.655,1,1,0.4885,0.1235,0.101
im,0.4945,0.7145,1,1,0.307,0.268,0.222
im,0.202,0.7145,1,1,0.193,0.3095,0.2525
im,0.438,0.75,1,1,0.25,0.371,0.303
im,0.2585,0.5595,1,1,0.3295,0.3505,0.3335
im,0.326,0.4645,1,1,0.3865,0.34,0.283
im,0.0675,0.75,1,1,0.307,0.299,0.2525
im,0.618,0.5835,1,1,0.2385,0.103,0.091
im,0.292,0.5475,1,1,0.2615,0.2165,0.182
im,0.2135,0.7145,1,1,0.3635,0.1445,0.1615
im,0.326,0.595,0,1,0.3865,0.237,0.192
im,0.82,0.5835,1,1,0.625,0.629,0.515
im,0.1685,0.357,1,1,0.25,0.361,0.303
im,0.7755,0.643,1,1,0.3525,0.227,0.182
im,0,0.5355,1,1,0.4205,0.2885,0.2325
im,0.2135,0.643,1,1,0.3635,0.227,0.2625
im,0.865,0.6785,1,1,0.284,0.3095,0.2525
im,0.3145,0.5715,1,1,0.3865,0.34,0.4745
im,0.629,0.75,1,1,0.4775,0.361,0.303
im,0.292,0.4165,1,1,0.25,0.34,0.283
im,0.5395,0.5835,1,1,0.3975,0.2575,0.212
im,0.618,0.393,1,1,0.409,0.2475,0.202
im,0.3485,0.7855,1,1,0.3635,0.134,0.182
im,0.337,0.524,1,1,0.375,0.206,0.1715
im,0.427,0.7145,1,1,0.3525,0.392,0.323
im,0.438,0.512,1,1,0.193,0.402,0.3335
im,0.326,0.643,1,1,0.4885,0.196,0.1615
im,0.5845,0.631,1,1,0.557,0.2475,0.202
im,0.3485,0.5355,1,1,0.3525,0.3095,0.2525
im,0.5955,0.631,1,1,0.4205,0.3195,0.2725
im,0.562,0.7025,1,1,0.409,0.2885,0.2425
im,0.6065,0.5835,1,1,0.307,0.299,0.2525
im,0.6515,0.6665,1,1,0.432,0.2165,0.1715
im,0.3145,0.405,1,1,0.4775,0.134,0.111
im,0.4605,0.607,1,1,0.409,0.237,0.283
im,0.8765,0.595,1,1,0.341,0.2885,0.313
im,0.6515,0.762,1,1,0.341,0.062,0.0505
im,0.236,0.5835,1,1,0.193,0.2575,0.212
im,0.2245,0.726,1,1,0.3525,0.2475,0.202
im,0.4155,0.5475,1,1,0.2955,0.2475,0.202
im,0.483,0.488,1,1,0.591,0.2475,0.7675
im,0.5955,0.655,1,1,0.568,0.2165,0.8285
im,1,0.5835,1,1,0.6025,0.34,0.5555
im,0.8875,0.607,1,1,0.534,0.34,0.788
im,0.663,0.5835,1,1,0.5225,0.402,0.6565
im,0.3145,0.631,1,1,1,0.206,0.677
im,0.292,0.2975,1,1,0.2725,0.2785,0.3335
im,0.202,0.5715,1,1,0.2725,0,0
imS,0.045,0.5595,1,1,0.3975,0.495,0.6465
imS,0.292,0.607,1,1,0.3865,0.2475,0.202
imL,0.1575,0.5355,0,0,0.5455,0.5465,0.697
imL,0.2135,0.726,0,1,0.4205,0.1855,0.1515
imU,0.191,0.6905,1,1,0.2615,0.237,0.202
imU,0.1125,0.7025,1,1,0.25,0.196,0.1615
imU,0.0675,0.619,1,1,0.2615,0.2475,0.202
imU,0.2245,0.6785,1,1,0.3295,0.268,0.222
imU,0.1125,0.762,1,1,0.4775,0.1855,0.293
imU,0.1235,0.7975,1,1,0.3525,0.237,0.202
imU,0.1575,0.75,1,1,0.2725,0.3095,0.2525
imU,0.337,0.845,1,1,0.2725,0.2575,0.222
imU,0.247,0.75,1,1,0.3865,0.371,0.313
imU,0.2585,0.619,1,1,0.3865,0.3095,0.2525
imU,0.281,0.643,1,1,0.4545,0.2785,0.2325
imU,0.146,0.345,1,1,0.432,0.299,0.2425
imU,0.056,0.607,1,1,0.375,0.227,0.2525
imU,0.135,0.5355,1,1,0.4205,0.227,0.2525
imU,0.09,0.6665,1,1,0.5225,0.34,0.313
imU,0.3485,0.476,1,1,0.3295,0.2785,0.2325
imU,0.292,0.6905,1,1,0.4545,0.237,0.192
imU,0.3035,0.6905,1,1,0.341,0.2165,0.182
imU,0.0335,0.726,1,1,0.3295,0.1135,0.091
imU,0.09,0.5595,1,1,0.3525,0.134,0.111
imU,0.0225,0.607,1,1,0.307,0.2475,0.202
imU,0.472,0.643,1,1,0.2955,0.268,0.222
imU,0.146,0.7025,1,1,0.432,0.4225,0.3735
imU,0.2135,0.5595,1,1,0.2045,0.1445,0.121
imU,0.281,0.655,1,1,0.2385,0.402,0.3335
imU,0.09,0.5715,1,1,0.3525,0.227,0.192
imU,0.18,0.881,1,1,0.3525,0.2575,0.212
imU,0.4495,0.4645,0,1,0.3635,0.299,0.2525
imU,0.011,0.6905,1,1,0.409,0.2785,0.2425
imU,0.056,0.5475,1,1,0.1475,0.0825,0.293
imU,0.292,0.5835,1,1,0.2725,0.2885,0.2325
imU,0.0335,0.5355,1,1,0.284,0.196,0.1615
imU,0.1125,0.5475,1,1,0.432,0.3505,0.313
imU,0.3595,0.738,1,1,0.932,0.526,0.6665
imU,0.1235,0.6665,1,1,0.4885,0.2785,0.313
om,0.1235,0.381,1,1,0.057,0.6185,0.707
om,0.292,0.369,1,1,0.2615,0.608,0.717
om,0.247,0.143,1,1,0.1705,0.5155,0.7475
om,0.3145,0.2975,1,1,0.4205,0.6905,0.6665
om,0.247,0.1905,1,1,0.159,0.474,0.6265
om,0.1685,0.119,1,1,0.3525,0.4845,0.707
om,0.18,0.1905,1,1,0.0225,0.433,0.707
om,0.1575,0.2855,1,1,0.057,0.4435,0.697
om,0.135,0.512,1,1,0,0.4845,0.798
om,0.1685,0.262,1,1,0.1475,0.474,0.8485
om,0.236,0.2855,1,1,0.0455,0.567,0.7275
om,0.371,0.381,1,1,0.125,0.66,0.5455
om,0.2695,0.5835,1,1,0.25,0.474,0.6665
om,0.4155,0.226,1,1,0.182,0.639,0.616
om,0.281,0.512,1,1,0.2045,0.6905,0.7375
om,0.326,0.2855,0,1,0.125,0.4225,0.4745
om,0.2245,0.488,1,1,0.125,0.629,0.788
om,0.292,0.607,1,1,0.1025,0.567,0.717
om,0.202,0.345,1,1,0.2275,0.5875,0.6365
om,0.236,0.4405,1,1,0.1705,0.6185,0.697
omL,0.135,0.512,0,1,0.5795,0.474,0.99
omL,0.2585,0.607,0,1,0.3865,0.4535,0.6365
omL,0.202,0.643,0,1,0.409,0.4225,0.697
omL,0.247,0.5355,0,1,0.25,0.433,0.8385
omL,0.236,0.607,0,1,0.2955,0.464,0.717
pp,0.1685,0.607,1,1,0.5225,0.474,0.6365
pp,0.2135,0.4645,1,1,0.3635,0.495,0.5655
pp,0.2585,0.1665,1,1,0.6135,0.608,0.6365
pp,0.18,0.262,1,1,0.341,0.505,0.687
pp,0.2695,0.512,1,1,0.466,0.5465,0.485
pp,0.191,0.1665,1,1,0.807,0.464,0.788
pp,0.247,0.357,1,1,0.4775,0.567,0.6665
pp,0.247,0.226,1,1,0.3865,0.526,0.7675
pp,0.247,0.4645,1,1,0.4205,0.6495,0.616
pp,0.292,0,1,1,0.6025,0.505,0.505
pp,0.3595,0.488,1,1,0.557,0.5465,0.6665
pp,0.202,0.345,1,1,0.5455,0.474,0.606
pp,0.2585,0.3095,1,1,0.6475,0.639,0.5655
pp,0.247,0.226,1,1,0.716,0.598,0.7475
pp,0.281,0.3335,1,1,0.443,0.598,0.808
pp,0.236,0.2145,1,1,0.568,0.361,0.4345
pp,0.6405,0.726,1,1,0.3975,0.7425,0.616
pp,0.2135,0.4285,1,1,0.466,0.505,0.5255
pp,0.292,0.512,1,1,0.443,0.3095,0.798
pp,0.1685,0.2145,1,1,0.443,0.526,0.586
pp,0.292,0.1665,1,1,0.557,0.5465,0.6565
pp,0.292,0.2025,1,1,0.5455,0.629,0.808
pp,0.292,0.345,1,1,0.318,0.6185,0.606
pp,0.202,0.1665,1,1,0.5455,0.474,0.677
pp,0.236,0.262,1,1,0.5115,0.5775,0.576
pp,0.281,0.1905,1,1,0.5795,0.567,0.596
pp,0.1685,0.631,1,1,0.432,0.4435,0.576
pp,0.1575,0.1905,1,1,0.6025,0.495,0.6665
pp,0.292,0.4165,1,1,0.557,0.5775,0.6465
pp,0.2245,0.393,1,1,0.659,0.629,0.7575
pp,0.2135,0.345,1,1,0.5225,0.165,0.1415
pp,0.2245,0.238,1,1,0.4775,0.4435,0.7375
pp,0.281,0.405,1,1,0.534,0.629,0.798
pp,0.292,0.238,1,1,0.4775,0.7115,0.707
pp,0.2585,0.345,1,1,0.534,0.5155,0.6465
pp,0.2245,0.488,1,1,0.4775,0.5775,0.4745
pp,0.236,0.393,1,1,0.443,0.6185,0.6565
pp,0.281,0.262,1,1,0.432,0.66,0.616
pp,0.3035,0.262,1,1,0.466,0.526,0.4545
pp,0.146,0.3215,1,1,0.5,0.629,0.606
pp,0.281,0.226,1,1,0.5795,0.629,0.5555
pp,0.674,0.726,1,1,0.409,0.6185,0.515
pp,0.3035,0.2025,1,1,0.4775,0.66,0.596
pp,0.371,0.5475,1,1,0.5115,0.6495,0.697
pp,0.2245,0.405,1,1,0.534,0.5155,0.7475
pp,0.2245,0.4165,1,1,0.284,0.536,0.586
pp,0.517,0.488,1,1,0.409,0.526,0.4345
pp,0.1685,0.524,1,1,0.466,0.33,0.697
pp,0.202,0.512,1,1,0.4545,0.67,0.677
pp,0.3145,0.476,1,1,0.5,0.629,0.616
pp,0.337,0.4645,1,1,0.5225,0.598,0.6265
pp,0.1685,0.3095,1,1,0.6475,0.4845,0.4745